VAE (beta = 1), 1000 epochs

Epoch [10/1000], Loss: 1.7225
Epoch [20/1000], Loss: 1.7033
Epoch [30/1000], Loss: 1.6926
Epoch [40/1000], Loss: 1.6845
Epoch [50/1000], Loss: 1.6777
Epoch [60/1000], Loss: 1.6718
Epoch [70/1000], Loss: 1.6664
Epoch [80/1000], Loss: 1.6615
Epoch [90/1000], Loss: 1.6568
Epoch [100/1000], Loss: 1.6525
Epoch [110/1000], Loss: 1.6484
Epoch [120/1000], Loss: 1.6445
Epoch [130/1000], Loss: 1.6408
Epoch [140/1000], Loss: 1.6373
Epoch [150/1000], Loss: 1.6339
Epoch [160/1000], Loss: 1.6306
Epoch [170/1000], Loss: 1.6274
Epoch [180/1000], Loss: 1.6243
Epoch [190/1000], Loss: 1.6213
Epoch [200/1000], Loss: 1.6185
Epoch [210/1000], Loss: 1.6156
Epoch [220/1000], Loss: 1.6129
Epoch [230/1000], Loss: 1.6102
Epoch [240/1000], Loss: 1.6076
Epoch [250/1000], Loss: 1.6051
Epoch [260/1000], Loss: 1.6026
Epoch [270/1000], Loss: 1.6002
Epoch [280/1000], Loss: 1.5978
Epoch [290/1000], Loss: 1.5955
Epoch [300/1000], Loss: 1.5932
Epoch [310/1000], Loss: 1.5910
Epoch [320/1000], Loss: 1.5888
Epoch [330/1000], Loss: 1.5866
Epoch [340/1000], Loss: 1.5845
Epoch [350/1000], Loss: 1.5824
Epoch [360/1000], Loss: 1.5804
Epoch [370/1000], Loss: 1.5784
Epoch [380/1000], Loss: 1.5764
Epoch [390/1000], Loss: 1.5745
Epoch [400/1000], Loss: 1.5725
Epoch [410/1000], Loss: 1.5706
Epoch [420/1000], Loss: 1.5688
Epoch [430/1000], Loss: 1.5669
Epoch [440/1000], Loss: 1.5651
Epoch [450/1000], Loss: 1.5633
Epoch [460/1000], Loss: 1.5616
Epoch [470/1000], Loss: 1.5598
Epoch [480/1000], Loss: 1.5581
Epoch [490/1000], Loss: 1.5564
Epoch [500/1000], Loss: 1.5547
Epoch [510/1000], Loss: 1.5531
Epoch [520/1000], Loss: 1.5514
Epoch [530/1000], Loss: 1.5498
Epoch [540/1000], Loss: 1.5482
Epoch [550/1000], Loss: 1.5466
Epoch [560/1000], Loss: 1.5451
Epoch [570/1000], Loss: 1.5435
Epoch [580/1000], Loss: 1.5420
Epoch [590/1000], Loss: 1.5405
